10837861,JA140115,02-03-2017 01:30,034XX N HALSTED ST,880,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,FALSE,1924,19,1170308,1923273,44,6,6,2017,02/14/2017 03:49:42 PM,41.94495301,-87.64941621,"(41.944953005, -87.649416212)"
10837864,JA140187,02-02-2017 18:30,016XX N OAKLEY AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1434,14,1160770,1910989,1,24,6,2017,02/14/2017 03:49:42 PM,41.91144837,-87.68481553,"(41.911448372, -87.684815527)"
10837875,JA139954,02-03-2017 07:55,072XX S RICHMOND ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,831,8,1157962,1856383,18,66,08A,2017,02/14/2017 03:49:42 PM,41.76166094,-87.69661824,"(41.761660944, -87.696618243)"
10837876,JA140164,02-02-2017 13:00,023XX W WINNEMAC AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2031,20,1160011,1933435,47,4,6,2017,02/14/2017 03:49:42 PM,41.97305728,-87.68698208,"(41.973057284, -87.686982081)"
10837879,JA140031,02-02-2017 17:08,087XX S RACINE AVE,031A,BURGLARY,ARMED: HANDGUN,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2222,22,1169851,1846838,21,71,3,2017,02/14/2017 03:49:42 PM,41.73521843,-87.65332025,"(41.735218425, -87.653320252)"
10837886,JA140196,02-02-2017 18:00,008XX N WOOD ST,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1213,12,1164238,1905911,1,24,6,2017,02/14/2017 03:49:42 PM,41.89744132,-87.67221901,"(41.897441318, -87.672219005)"
10837888,JA139996,02-03-2017 04:00,016XX S HAMLIN AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1014,10,1151323,1891539,24,29,5,2017,02/14/2017 03:49:42 PM,41.85826628,-87.7200316,"(41.858266277, -87.720031598)"
10837891,JA140190,02-03-2017 10:50,002XX S CANAL ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,121,1,1173178,1899203,2,28,18,2017,02/14/2017 03:49:42 PM,41.87884043,-87.63958293,"(41.878840427, -87.639582928)"
10837893,JA139196,02-02-2017 12:30,062XX W GREGORY ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1622,16,1133592,1936459,45,11,5,2017,02/14/2017 03:49:42 PM,41.98186128,-87.78406048,"(41.98186128, -87.784060479)"
10837895,JA140169,02-03-2017 11:08,047XX W GLADYS AVE,2026,NARCOTICS,POSS: PCP,SIDEWALK,TRUE,FALSE,1131,11,1144872,1897936,24,25,18,2017,02/14/2017 03:49:42 PM,41.87594446,-87.74354976,"(41.875944461, -87.743549763)"
10837902,JA140241,02-02-2017 14:00,031XX W IRVING PARK RD,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1733,17,1154834,1926427,33,16,6,2017,02/14/2017 03:49:42 PM,41.95393251,-87.7062077,"(41.953932507, -87.706207702)"
10837905,JA140201,02-02-2017 12:50,002XX E 111TH ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,SCHOOL; PUBLIC; BUILDING,FALSE,FALSE,513,5,1179894,1831414,9,49,08A,2017,02/14/2017 03:49:42 PM,41.69266932,-87.61699709,"(41.692669318, -87.616997089)"
10837907,JA140176,02-03-2017 11:35,033XX W BELMONT AVE,560,ASSAULT,SIMPLE,CTA STATION,FALSE,FALSE,1412,14,1153353,1921084,35,21,08A,2017,02/14/2017 03:49:42 PM,41.93930054,-87.71179449,"(41.939300539, -87.711794487)"
10837913,JA139947,02-02-2017 21:00,040XX W ADAMS ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1115,11,1149438,1898704,28,26,6,2017,02/14/2017 03:49:42 PM,41.87796462,-87.72676496,"(41.877964619, -87.726764957)"
10837914,JA140147,02-03-2017 11:25,025XX W MADISON ST,330,BURGLARY,AGGRAVATED,ALLEY,FALSE,FALSE,1222,12,1159828,1899934,2,28,3,2017,02/14/2017 03:49:42 PM,41.88113202,-87.68858133,"(41.881132017, -87.688581334)"
